vedadc_n,vantig_n,vnline_n,vgamma_c,veaseg_c,vctcpl_n,vccdeu_n,vccdeu_n,ttkbco_n,vtarge_c
65,,2,PREMIUM,n,15,5,5,1069086,0
32,80,1,PREMIUM PLUS,n,24,3,3,11942225,0
46,132,2,PREMIUM PLUS,n,92,29,29,4942422,0
51,88,2,ALTA,n,28,8,8,3331499,0
56,158,2,PREMIUM PLUS,n,41,14,14,647857,0
58,137,1,PREMIUM PLUS,n,3,0,0,2356627,0
60,131,3,,n,4,0,0,0,0
62,142,1,PREMIUM,n,58,0,0,2265498,0
56,89,1,PREMIUM PLUS,n,36,12,12,7486791,0
44,107,2,PREMIUM,n,20,4,4,0,0
64,99,1,PREMIUM PLUS,n,34,12,12,0,0
77,,1,PREMIUM,n,31,6,6,248925,0
83,157,1,,n,19,4,4,0,0
117,91,2,MEDIA,n,14,1,1,0,0
38,132,2,PREMIUM,n,59,24,24,0,0
71,140,1,PREMIUM PLUS,s,40,11,11,0,0
45,132,1,PREMIUM PLUS,n,7,0,0,0,0
43,43,1,PREMIUM PLUS,n,8,0,0,10613413,0
,,4,PREMIUM PLUS,n,5,1,1,2416141,0
57,132,3,BAJA,n,21,1,1,0,0
51,132,2,,n,11,0,0,5669,0
28,85,2,PREMIUM,n,44,14,14,9980194,0
51,76,1,PREMIUM,n,8,0,0,6600913,0
64,,1,PREMIUM PLUS,n,16,0,0,0,0
44,,1,PREMIUM,n,91,22,22,1265173,0
29,69,1,PREMIUM PLUS,n,19,3,3,713963,0
17,157,4,PREMIUM,n,18,3,3,6175777,0
53,108,1,,n,35,13,13,0,0
18,132,5,PREMIUM PLUS,n,60,22,22,360331,0
41,113,1,,n,14,1,1,24748,0
38,,4,PREMIUM PLUS,n,26,9,9,7322409,0
61,,1,PREMIUM PLUS,n,17,3,3,0,0
11,132,2,PREMIUM,n,10,0,0,5223225,0
45,132,2,,n,59,25,25,1903131,0
43,120,2,PREMIUM,n,43,14,14,2650921,0
,76,1,PREMIUM,n,8,0,0,734578,0
49,115,1,ALTA,n,37,7,7,0,0
52,130,2,PREMIUM,n,13,2,2,4884321,0
38,131,1,ALTA,n,77,17,17,7596808,0
60,113,1,PREMIUM PLUS,n,40,9,9,0,0
,87,1,,n,7,1,1,0,0
54,132,2,PREMIUM,n,7,0,0,0,0
117,131,4,PREMIUM,n,77,35,35,0,0
54,94,1,PREMIUM,n,20,5,5,141152,0
55,132,1,PREMIUM PLUS,n,9,0,0,6651583,0
21,,4,,n,16,2,2,0,0
41,130,1,PREMIUM PLUS,s,5,0,0,0,0
62,88,1,PREMIUM PLUS,n,41,3,3,817543,0
63,,6,,n,26,0,0,0,0
,83,1,,n,26,4,4,0,0
54,,1,PREMIUM,n,82,24,24,1739410,0
